ds,yhat,yhat_lower,yhat_upper
2013-01-01,2.6883813164799597,0.05809964050808957,5.265339589761462
2013-01-02,2.36190484625614,-0.08567614621911603,4.818465427172483
2013-01-03,1.5079318216567366,-1.0435108942854285,4.171536468822526
2013-01-04,2.678592859536795,0.13925587845010481,5.077238838655683
2013-01-05,2.2217758304986863,-0.28930541008465477,4.696505039474858
2013-01-06,0.5229356314169944,-2.049887664812495,3.2261202010383037
2013-01-07,1.8506345045503292,-0.7225171271658759,4.440116399585138
2013-01-08,2.6972358532801968,0.1848067607107084,5.241287424140371
2013-01-09,2.3707593830559777,-0.11974483501109846,4.970772557434521
2013-01-10,1.5167863584575445,-1.0601774982169918,4.0728617002684695
2013-01-11,2.6874473963387917,0.10549824582236259,5.240510135671696
2013-01-12,2.2306303673011647,-0.43244081505413273,4.810606649350715
2013-01-13,0.5317901682173389,-2.223549721507221,3.181242083001195
2013-01-14,1.85948904134807,-0.8059793965894869,4.4980334497727315
2013-01-15,2.7060903900804347,-0.03306755738938301,5.281106045180995
2013-01-16,2.379613919855815,-0.14942441437745813,5.023977833005897
2013-01-17,1.5256408952583522,-1.0640855230330615,4.138035315143526
2013-01-18,2.6963019332877893,0.30390190874100487,5.339180526177588
2013-01-19,2.239484904404916,-0.47182253541835195,4.856351192363099
2013-01-20,0.5406447054747907,-2.2029899064600005,3.1752883679151607
2013-01-21,1.868343578758609,-0.8097482381343003,4.756185128883353
2013-01-22,2.7149449276417355,0.14251931362840028,5.278980617925273
2013-01-23,2.388468457570787,-0.09831999368458649,4.812037475034362
2013-01-24,1.534495433122549,-0.8625403080243468,4.039532317406237
2013-01-25,2.7051564711555716,-0.1742816950884123,5.153775643786549
2013-01-26,2.248339442269943,-0.47875902467209525,4.736759914334048
2013-01-27,0.5494992433412631,-2.087635402676682,3.1633421380821445
2013-01-28,1.87719811662149,-0.8196152473595459,4.325140722948953
2013-01-29,2.723799465507449,0.23747377041367213,5.526420586595411
2013-01-30,2.3973229954353834,-0.06385546139250044,5.06449766164815
2013-01-31,1.5433499709891427,-0.9778749282175216,4.184092261318499
2013-02-01,2.7140110090214287,0.02214304373196067,5.085454956113289
2013-02-02,2.257193979999485,-0.24778689146687424,4.921151261198398
2013-02-03,0.5583537809400865,-1.903192587845017,3.16679790362298
2013-02-04,1.8860526540878357,-0.713160215976542,4.6628866124535895
2013-02-05,2.7326540028386477,0.19095730272573416,5.368512799206147
2013-02-06,2.4061775326317143,-0.17866883829392816,4.934343119259011
2013-02-07,1.5522045080538185,-1.1357163958458734,4.339893121288609
2013-02-08,2.7228655459522364,0.21707339189640193,5.360177036529698
2013-02-09,2.2660485169340094,-0.3675259647201686,4.863114698218633
2013-02-10,0.5672083178678968,-1.9420784629180314,3.2025405442881443
2013-02-11,1.8949071910195683,-0.778819543934986,4.453448778185238
2013-02-12,2.7415085397690993,0.3231642557651261,5.433513812636018
2013-02-13,2.415032069561766,-0.26641933549843083,4.985776805844755
2013-02-14,1.5610590449820039,-1.0074967047572543,3.921076934916644
2013-02-15,2.7317200828825214,0.017282208326972304,5.223404927513222
2013-02-16,2.2749030538616335,-0.1671828232489169,5.031372310374522
2013-02-17,0.576062854798798,-1.9424111703526494,3.2876618873375056
2013-02-18,1.9037617289661881,-0.7049994811452034,4.731806689170898
2013-02-19,2.7503630787285918,0.3079818633251762,5.458827055167155
2013-02-20,2.423886609537055,-0.19924522288775445,5.084557282604859
2013-02-21,1.5699135859742108,-0.9231250145540755,4.007923639047216
2013-02-22,2.74057462488724,0.22740742340192943,5.202898809530466
